Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1723.5842325808671
FDW14,OUT017,1405.4893884978248
NCN55,OUT010,708.2244763603355
FDQ58,OUT017,2462.621222868659
FDY38,OUT027,5682.444263294435
FDH56,OUT046,2018.6299509004184
FDL48,OUT018,699.8266923293418
FDC48,OUT027,2119.7317824358975
FDN33,OUT045,1546.4285097944476
FDA36,OUT017,3092.0757193101085
FDT44,OUT017,2112.365147690195
FDQ56,OUT045,1430.5401716344309
NCC54,OUT019,731.7420884796393
FDU11,OUT049,2081.0873527031176
DRL59,OUT013,853.4608338315238
FDM24,OUT049,2477.7822850990815
FDI57,OUT045,3729.586112262452
DRC12,OUT018,2904.749598863958
NCM42,OUT027,2660.034086632078
FDA46,OUT010,626.5964390868522
FDA31,OUT013,2786.039619207784
NCJ31,OUT035,3912.9564418704576
FDG52,OUT046,801.2141198577461
NCL19,OUT019,424.92452820835575
FDS10,OUT035,3034.8677754612518
FDX22,OUT010,762.4704330504059
NCF19,OUT035,821.3514271968393
NCE06,OUT046,2670.590233286735
DRC27,OUT046,3912.9564418704576
FDE21,OUT035,2018.6299509004184
NCR42,OUT019,125.6520594027798
FDX51,OUT018,2904.749598863958
NCR06,OUT018,602.7252139205301
FDU31,OUT027,5276.794481367546
FDU59,OUT017,2658.8043512487443
FDR03,OUT027,5771.012938461217
FDS49,OUT027,2119.7317824358975
FDD48,OUT010,384.1426065427508
NCF18,OUT017,3092.0757193101085
NCD43,OUT027,2589.5527852502178
NCD54,OUT018,1694.3924945508636
FDY19,OUT010,394.888916091148
NCY54,OUT017,2800.567858988815
NCL19,OUT018,2086.3996902066824
FDP23,OUT010,607.7065925384217
FDC26,OUT013,1821.184167092041
FDR14,OUT010,324.68407495865443
NCS41,OUT035,3195.0042448697627
FDF41,OUT035,4376.470139161444
FDU34,OUT046,2081.0873527031176
DRH11,OUT046,929.8877311766847
FDM03,OUT013,1723.5842325808671
FDS31,OUT017,3049.3960152422824
FDJ20,OUT017,2180.850225558745
FDV44,OUT027,4951.238112668049
FDG02,OUT049,3142.461368520501
FDA09,OUT013,3034.8677754612518
FDT04,OUT013,717.42625120079
FDL58,OUT019,704.8565171354269
FDE52,OUT045,1462.5854424062156
FDW12,OUT035,2366.728242319242
FDL51,OUT017,3405.921002329855
NCY42,OUT027,3105.0438193243976
FDR07,OUT017,1561.3305220492357
FDN40,OUT045,2419.9549122962794
FDB35,OUT027,2551.5225947116746
FDA22,OUT017,2658.8043512487443
NCL06,OUT046,3951.107069314233
FDI35,OUT013,3034.8677754612518
NCW42,OUT045,3303.9075015860335
NCX06,OUT049,3099.7816644526747
FDC37,OUT027,2506.2833943119826
FDZ14,OUT018,1631.0531724366297
DRG49,OUT049,3927.4846816514882
NCG06,OUT045,3915.026653102686
DRC36,OUT045,2727.835140695225
FDV21,OUT019,413.5955922063009
FDB53,OUT046,2344.2465378476195
DRP47,OUT019,704.8565171354269
FDA14,OUT013,2366.728242319242
DRC24,OUT035,2419.9549122962794
FDW21,OUT018,1497.6225100792403
NCH29,OUT046,1547.7560061265256
FDU58,OUT013,3077.547479529078
FDY27,OUT017,2800.567858988815
FDV56,OUT035,1723.5842325808671
FDT59,OUT046,3731.487683367687
FDB23,OUT046,3731.487683367687
FDR49,OUT045,814.7857046985653
FDB03,OUT010,708.2244763603355
FDN39,OUT045,2636.680288947732
FDX02,OUT027,4630.051830780002
FDQ16,OUT027,2708.9471743931203
FDU35,OUT018,1497.6225100792403
NCT29,OUT013,2092.8732347411083
FDZ27,OUT046,776.1633367211401
FDN57,OUT017,2125.7013813507856
FDA03,OUT018,2074.613808168692
FDZ36,OUT045,3019.343001016519
NCU05,OUT013,1292.4561094378105
FDT39,OUT018,2263.4882439513526
FDK60,OUT017,1561.3305220492357
FDZ25,OUT017,2737.9015742978763
FDG12,OUT046,2081.0873527031176
DRB01,OUT019,587.4122254917568
NCC43,OUT027,5701.289936599477
FDX13,OUT019,753.8399499439329
FDM22,OUT049,953.1766601652652
FDJ03,OUT027,1482.4398263652063
FDU14,OUT018,3602.66738037419
FDB33,OUT010,592.3369504674882
FDP27,OUT046,3077.547479529078
FDO38,OUT010,382.54361156881083
FDE28,OUT027,5822.850276181856
FDO27,OUT035,1558.5091803401929
DRL23,OUT027,2589.5527852502178
FDS28,OUT046,929.8877311766847
FDX24,OUT013,1547.7560061265256
FDZ02,OUT035,1533.4583972035869
FDL46,OUT045,1975.6954498799178
FDS60,OUT027,4992.94125717088
NCO06,OUT017,689.4329379575222
FDO16,OUT035,1372.8567639863177
FDC60,OUT049,1430.5401716344309
FDA48,OUT018,3154.007902679886
FDZ36,OUT027,4951.238112668049
FDK27,OUT045,2066.18534044833
FDW23,OUT018,608.2308669605678
FDM14,OUT018,1600.761509714787
FDM14,OUT013,1723.5842325808671
FDW60,OUT018,2739.6776008241163
FDE21,OUT013,2018.6299509004184
NCM42,OUT035,1723.5842325808671
FDY59,OUT010,404.3103089689566
DRI49,OUT049,1307.311870137915
FDT28,OUT019,518.2391665824662
FDQ22,OUT018,609.9677393002744
FDR60,OUT049,1321.2776408113016
FDC50,OUT019,395.60162206922865
FDV24,OUT013,2419.9549122962794
DRF48,OUT010,626.5964390868522
FDQ47,OUT046,708.8461113144675
DRN36,OUT049,1561.3305220492357
NCY06,OUT035,2101.342313867872
FDE52,OUT035,1468.2530086264233
NCB54,OUT045,2077.9712224863206
NCF31,OUT035,2431.74079433427
